,question,answer,response,mapping,response_answer,equations,
51,You have read c0 books from the ' crazy silly school ' series. If there are a total of c1 different books in the ' crazy silly school ' seriesHow many more do you still have to read?,6,"You have read c0 books from the series, so there are c1 - c0 books left to read. 
books_left_to_read = c1 - c0
The answer is books_left_to_read.","{'c0': 8.0, 'c1': 14.0}",6,"['books_left_to_read =  c1 - c0', 'answer = books_left_to_read']",1
52,Emily is making bead necklaces for her c0 friends. She had c1 beads and she was able to make c2 necklaces.How many beads did each necklace need?,4,"Emily had c1 beads and made c2 necklaces. So each necklace needed c1/c2 beads. 
beads_per_necklace = c1/c2
The answer is beads_per_necklace.","{'c0': 43.0, 'c1': 20.0, 'c2': 5.0}",4,"['beads_per_necklace =  c1/c2', 'answer = beads_per_necklace']",1
53,Frank put c0 pieces of candy in each bag. If he had c1 pieces of candyHow many bags would he have?,2,"If Frank put c0 pieces of candy in each bag and he had c1 pieces of candy, then he would need c1/c0 bags. However, if c1 is not evenly divisible by c0, then he would have some leftover candy that wouldn't fit in a full bag. In that case, he would need (c1//c0) + 1 bags. 
If c1 is evenly divisible by c0, then the answer is simply c1/c0. 
If c1 is not evenly divisible by c0, then the answer is (c1//c0) + 1. 
The answer is either c1/c0 or (c1//c0) + 1, depending on whether c1 is evenly divisible by c0 or not.","{'c0': 11.0, 'c1': 22.0}",2,"['answer = either c1/c0 or (c1//c0) + 1, depending on whether c1 is evenly divisible by c0 or not']",1
54,A waiter had c0 customers. After some left he still had c1 customers. Then he got c2 new customersHow many customers does he have now?,24,"The waiter started with c0 customers. After some left, he had c1 customers remaining. Then he got c2 new customers. So in total, he has c1 + c2 customers now. 
total_customers = c1 + c2
The answer is total_customers.","{'c0': 12.0, 'c1': 14.0, 'c2': 10.0}",24,"['total_customers =  c1 + c2', 'answer = total_customers']",1
55,A farmer had c0 tomatoes in his garden. If he picked c1 of them yesterday and c2 today.How many tomatoes did he pick in all?,204,"The farmer started with c0 tomatoes. He picked c1 yesterday and c2 today. So he picked c1 + c2 tomatoes in all. 
total_tomatoes_picked = c1 + c2
The answer is total_tomatoes_picked.","{'c0': 90.0, 'c1': 154.0, 'c2': 50.0}",204,"['total_tomatoes_picked =  c1 + c2', 'answer = total_tomatoes_picked']",1
56,"c0 red peaches, c1 yellow peaches and c2 green peaches are in the basket.How many green and yellow peaches are in the basket?",20,"There are c1 yellow peaches and c2 green peaches in the basket. So the total number of yellow and green peaches is c1 + c2. 
total_yellow_green = c1 + c2
The answer is total_yellow_green.","{'c0': 5.0, 'c1': 14.0, 'c2': 6.0}",20,"['total_yellow_green =  c1 + c2', 'answer = total_yellow_green']",1
57,Winter is almost here and most animals are migrating to warmer countries. There were c0 bird families living near the mountain. If c1 bird families flew away for winterHow many more bird families flew away for the winter than those that stayed behind?,31,"There were originally c0 bird families. c1 bird families flew away for winter. So c0 - c1 bird families stayed behind. 
bird_families_left = c0 - c1
The difference between those that flew away and those that stayed behind is c1 - bird_families_left. 
difference = c1 - bird_families_left
The answer is difference.","{'c0': 89.0, 'c1': 60.0}",31,"['bird_families_left =  c0 - c1', 'difference =  c1 - bird_families_left', 'answer = difference']",1
58,There were c0 roses and c1 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now c2 orchids and c3 roses in the vase.How many more orchids than roses are there in the vase now?,10,"There were originally c0 roses and c1 orchids in the vase. Jessica added some more roses and orchids, so the total number of orchids is c1 + additional orchids and the total number of roses is c0 + additional roses. We don't know how many additional roses and orchids were added, but we do know that there are now c2 orchids and c3 roses in the vase. So we can set up two equations:

c1 + additional orchids = c2
c0 + additional roses = c3

We can solve for additional orchids and additional roses by subtracting c1 and c0 from both sides:

additional orchids = c2 - c1
additional roses = c3 - c0

To find out how many more orchids than roses there are now, we can subtract the number of roses from the number of orchids:

more orchids = additional orchids - additional roses
more orchids = (c2 - c1) - (c3 - c0)
The answer is more orchids.","{'c0': 9.0, 'c1': 6.0, 'c2': 13.0, 'c3': 3.0}",-6,"['orchids =  c2', 'roses =  c3', 'orchids =  c2 - c1', 'roses =  c3 - c0', 'orchids =  additional orchids - additional roses', 'orchids =  (c2 - c1) - (c3 - c0)', 'answer = more orchids']",0
59,"After eating a hearty meal they went to see the Buckingham palace. There were c0 paintings in the Buckingham palace. There, Rachel learned that c1 visitors came to the Buckingham palace that day. If there were c2 visitors the previous dayHow many more visitors visited the Buckingham palace on that day than on the previous day?",61,"On the previous day, there were c2 visitors. On the current day, there were c1 visitors. So there were c1 - c2 more visitors on the current day than on the previous day. 
more_visitors = c1 - c2
The answer is more_visitors.","{'c0': 39.0, 'c1': 661.0, 'c2': 600.0}",61,"['more_visitors =  c1 - c2', 'answer = more_visitors']",1
60,A waiter had c0 customers. While c1 customers left he got c2 new customers.How many customers does he still have?,11,"The waiter started with c0 customers. c1 customers left, so he had c0 - c1 customers left. Then he got c2 new customers, so he now has c0 - c1 + c2 customers. 
remaining_customers = c0 - c1 + c2
The answer is remaining_customers.","{'c0': 12.0, 'c1': 15.0, 'c2': 14.0}",11,"['remaining_customers =  c0 - c1 + c2', 'answer = remaining_customers']",1
61,Emily is making bead necklaces for her c0 friends. She has c1 beads and each necklace takes c2 beads.How many necklaces can Emily make?,2,"Emily has c1 beads and each necklace takes c2 beads. So she can make c1 // c2 necklaces, where // is the integer division operator. 
necklaces = c1 // c2
The answer is necklaces.","{'c0': 72.0, 'c1': 6.0, 'c2': 3.0}",2,"['necklaces =  c1 // c2', 'answer = necklaces']",1
62,He also had c0 aquariums for saltwater animals. The aquarium had c1 saltwater animals in total and every aquarium had the same number of animals.How many saltwater animals does each aquarium have?,2,"He had c0 aquariums for c1 saltwater animals in total. So each aquarium must have c1/c0 saltwater animals. 
animals_per_aquarium = c1/c0
The answer is animals_per_aquarium.","{'c0': 26.0, 'c1': 52.0}",2,"['animals_per_aquarium =  c1/c0', 'answer = animals_per_aquarium']",1
63,Mary is baking a cake. The recipe calls for c0 cups of flour and c1 cups of sugar. She already put in some cups of flour. If she still needs c2 more cups of flour than sugarHow many cups of flour did she put in?,2,"The recipe calls for c0 cups of flour and c1 cups of sugar. Mary already put in some cups of flour, let's call it x. So she still needs c0 - x cups of flour. And she needs c1 cups of sugar. The problem states that she needs c2 more cups of flour than sugar. So we can set up the equation:
c0 - x = c1 + c2
Solving for x, we get:
x = c0 - c1 - c2
The answer is x.","{'c0': 11.0, 'c1': 7.0, 'c2': 2.0}",2,"['x =  c1 + c2', 'x =  c0 - c1 - c2', 'answer = x']",1
64,Baker made c0 cakes and c1 pastries. If he sold c2 cakes and c3 pastriesHow many cakes would baker still have?,139,"Baker made c0 cakes and c1 pastries. If he sold c2 cakes and c3 pastries, he would have c0 - c2 cakes and c1 - c3 pastries left. 
cakes_left = c0 - c2
The answer is cakes_left.","{'c0': 149.0, 'c1': 91.0, 'c2': 10.0, 'c3': 90.0}",139,"['cakes_left =  c0 - c2', 'answer = cakes_left']",1
65,Dave had c0 files and c1 apps on his phone. After deleting some apps and files he had c2 apps and c3 files left.How many files did he delete?,3,"Dave started with c0 files and c1 apps. After deleting some, he had c2 apps and c3 files left. So he deleted c1 - c2 apps and c0 - c3 files.
apps_deleted = c1 - c2
files_deleted = c0 - c3
The answer is files_deleted.","{'c0': 24.0, 'c1': 13.0, 'c2': 17.0, 'c3': 21.0}",3,"['apps_deleted =  c1 - c2', 'files_deleted =  c0 - c3', 'answer = files_deleted']",1
66,An industrial machine made c0 shirts yesterday and c1 shirts today. It can make c2 shirts a minute.How many minutes did the machine work today?,4,"The machine made c0 shirts yesterday and c1 shirts today, so it made c0 + c1 shirts in total. 
total_shirts = c0 + c1
If the machine can make c2 shirts a minute, then it worked for total_shirts / c2 minutes. 
minutes_worked = total_shirts / c2
The answer is minutes_worked.","{'c0': 9.0, 'c1': 8.0, 'c2': 2.0}",8.5,"['total_shirts =  c0 + c1', 'minutes_worked =  total_shirts / c2', 'answer = minutes_worked']",0
67,Rebecca wants to split a collection of eggs into c0 groups. Rebecca has c1 marbles and c2 eggs.How many eggs will each group have?,5,"If Rebecca wants to split the eggs into c0 groups, then each group will have c2/c0 eggs. 
eggs_per_group = c2/c0
The answer is eggs_per_group.","{'c0': 3.0, 'c1': 4.0, 'c2': 15.0}",5,"['eggs_per_group =  c2/c0', 'answer = eggs_per_group']",1
68,Matthew had some crackers. If Matthew gave c0 crackers to each of his c1 friendsHow many crackers did Matthew have?,22,"We don't have enough information to solve this problem. We need to know either the total number of crackers Matthew had before giving any away, or the total number of crackers he gave away to all of his friends combined.","{'c0': 2.0, 'c1': 11.0}",-1,[],0
69,Olivia spent c0 dollars at a supermarket. If she has c1 dollars left with herHow much money did she have initially?,111,"Olivia spent c0 dollars and has c1 dollars left. So she must have had c0 + c1 dollars initially. 
initial_money = c0 + c1
The answer is initial_money.","{'c0': 78.0, 'c1': 33.0}",111,"['initial_money =  c0 + c1', 'answer = initial_money']",1
70,If Lewis earns $ c0 every week during the c1 weeks of a harvest season.How much money will he earn if he works for c2 harvest seasons?,22090603,"Lewis earns c0 dollars every week for c1 weeks in a harvest season. So he earns c0 * c1 dollars per harvest season. 
earnings_per_season = c0 * c1
If he works for c2 harvest seasons, he will earn earnings_per_season * c2 dollars. 
total_earnings = earnings_per_season * c2
The answer is total_earnings.","{'c0': 1357.0, 'c1': 223.0, 'c2': 73.0}",22090603,"['earnings_per_season =  c0 * c1', 'total_earnings =  earnings_per_season * c2', 'answer = total_earnings']",1
71,Because of the decision Sofia asked c0 students to suggest specific types of food. c1 students suggested adding mashed potatoes while others suggested adding bacon to the menu.How many students suggested bacon?,125,"The problem only asks for the number of students who suggested bacon, so we only need to focus on c1. We don't need to use c0 in this case. The problem doesn't give us any information about how many students suggested mashed potatoes, so we can't use that information to find the answer. The answer is simply c1 students suggested bacon.","{'c0': 310.0, 'c1': 185.0}",-1,"['The problem only asks for the number of students who suggested bacon, so we only need to focus on c1']",0
72,Jack received c0 emails and c1 letters in the morning. He then received c2 emails and c3 letters in the afternoon.How many emails did jack receive in the day?,8,"Jack received c0 emails in the morning and c2 emails in the afternoon, so he received c0 + c2 emails in total. 
total_emails = c0 + c2
The answer is total_emails.","{'c0': 3.0, 'c1': 64.0, 'c2': 5.0, 'c3': 54.0}",8,"['total_emails =  c0 + c2', 'answer = total_emails']",1
73,Paco had c0 cookies. He ate c1 of them. Then he bought c2 more cookiesHow many cookies did Paco have left?,75,"Paco started with c0 cookies. After eating c1, he had c0 - c1 cookies left. 
cookies_left = c0 - c1
After buying c2 more cookies, he had cookies_left + c2 cookies. 
total_cookies = cookies_left + c2
The answer is total_cookies.","{'c0': 40.0, 'c1': 2.0, 'c2': 37.0}",75,"['cookies_left =  c0 - c1', 'total_cookies =  cookies_left + c2', 'answer = total_cookies']",1
74,Because of the decision Sofia asked the students to suggest specific types of food. If c0 students suggested adding mashed potatoes as well as bacon while c1 suggested adding only bacon to the menuHow many students suggested adding bacon?,569,"c0 students suggested adding mashed potatoes and bacon, while c1 students suggested adding only bacon. So the total number of students who suggested adding bacon is c0 + c1. 
students_suggested_bacon = c0 + c1
The answer is students_suggested_bacon.","{'c0': 218.0, 'c1': 351.0}",569,"['students_suggested_bacon =  c0 + c1', 'answer = students_suggested_bacon']",1
75,If each bag has c0 cookies and you had c1 bags of cookiesHow many cookies would you have?,2173,"If each bag has c0 cookies, and you have c1 bags, then you have c0 * c1 cookies in total. 
total_cookies = c0 * c1
The answer is total_cookies.","{'c0': 41.0, 'c1': 53.0}",2173,"['total_cookies =  c0 * c1', 'answer = total_cookies']",1
